"Time (s)","X (m/s2)","Y (m/s2)","Z (m/s2)"
3.376671375E0,4.936734009E-1,-1.651365967E0,6.863227844E-1
3.386632375E0,7.191046143E-1,-2.064207458E0,-3.059637451E-1
3.396594375E0,1.649569702E0,-5.427713013E0,-2.622995453E0
3.406556375E0,1.363963623E0,-1.629795822E1,-3.913761292E0
3.416518375E0,1.490001526E0,-2.633862854E1,-4.359085236E0
3.426479375E0,4.089346161E0,-3.309587677E1,-7.255561981E0
3.436441375E0,6.081253967E0,-3.391168030E1,-1.176822784E1
3.446403375E0,3.212469635E0,-2.825733856E1,-1.184591629E1
3.456364375E0,-1.276395721E0,-2.293261139E1,-1.365086288E1
3.466326375E0,-3.482957153E0,-1.782238815E1,-1.270617737E1
3.476288375E0,-1.127455444E0,-1.360625565E1,-6.867568817E0
3.486249375E0,4.191284180E-2,-1.155117920E1,-5.727988586E0
3.496211375E0,2.642005920E-1,-1.102577179E1,-6.905739441E0
3.506173375E0,1.473835144E0,-1.098834961E1,-5.224286041E0
3.516134375E0,2.018253021E0,-1.188049438E1,-3.117566986E0
3.526096375E0,2.919528809E0,-1.333771408E1,-4.399950256E0
3.536058375E0,4.826712799E0,-1.431787582E1,-8.590336304E0
3.546020375E0,6.481671295E0,-1.503892639E1,-1.081291443E1
3.555981375E0,6.358327789E0,-1.531824554E1,-7.485633545E0
3.565943375E0,4.528383179E0,-1.470512054E1,-5.437442780E0
3.575905375E0,2.490820312E0,-1.406834473E1,-6.747967529E0
3.585866375E0,1.142424316E0,-1.397703461E1,-8.398285675E0
3.595828375E0,2.323168945E-1,-1.422641602E1,-7.970175934E0
3.605790375E0,-1.893562317E-1,-1.440529404E1,-7.207212524E0
3.615751375E0,-5.176235962E-1,-1.464105377E1,-7.270381165E0
3.625713375E0,-7.626640320E-1,-1.496932114E1,-7.209008789E0
3.635675375E0,-6.304888916E-1,-1.501467682E1,-6.217919769E0
3.645636375E0,-2.664459229E-1,-1.486558685E1,-5.732179871E0
3.655598375E0,2.212399292E-1,-1.490106308E1,-5.066514130E0
3.665560375E0,6.988966370E-1,-1.501752090E1,-3.691772919E0
3.675522375E0,1.145118713E0,-1.536030807E1,-3.512445831E0
3.685483375E0,1.845961304E0,-1.608854370E1,-4.580923920E0
3.695445375E0,2.941383362E0,-1.681992279E1,-5.755082245E0
3.705407375E0,4.216282196E0,-1.722917175E1,-6.294111328E0
3.715368375E0,4.960534515E0,-1.716046463E1,-6.017336884E0
3.725330375E0,4.701123962E0,-1.645228729E1,-6.032156067E0
3.735292375E0,3.670966187E0,-1.535027893E1,-6.829847260E0
3.745253375E0,2.242187347E0,-1.438029602E1,-6.235732727E0
3.755215375E0,8.915460205E-1,-1.354967331E1,-4.878654785E0
3.765177375E0,2.339634705E-1,-1.261636414E1,-3.958069153E0
3.775138375E0,8.053253174E-2,-1.131197662E1,-3.558549957E0
3.785100375E0,-1.032852173E-2,-9.527836761E0,-3.204536133E0
3.795062375E0,1.930984497E-2,-7.637118530E0,-2.295326843E0
3.805024375E0,-3.936813354E-2,-5.728287964E0,-1.848206635E0
3.814985375E0,-4.236190796E-2,-3.975582733E0,-1.782642975E0
3.824947375E0,-1.893562317E-1,-2.587070160E0,-1.616787872E0
3.834909375E0,-1.193019104E-1,-1.471589813E0,-1.434616699E0
3.844870375E0,-9.160949707E-2,-5.665718079E-1,-1.006506958E0
3.854832375E0,-3.314108276E-1,6.286926270E-3,-1.636097717E-1
3.864794375E0,-4.863386536E-1,2.909948730E-1,5.019062805E-1
3.874755375E0,-4.496649170E-1,4.716691589E-1,7.159611511E-1
3.884717375E0,-5.251080322E-1,4.855902100E-1,6.930587769E-1
